Deep Purple,3C1F4D
Temptress,3C2126
Cola,3C3024
Olive Drab #7,3C341F
Christmas Green,3C8D0D
Medium Sea Green,3CB371
UFO Green,3CD070
Black Bean,3D0C02
Bistre,3D2B1F
Jacarta,3D325D
Tufts Blue,3E8EDE
Mint,3EB489
Chocolate Brown,3F000F
Vampire Violet,3F0073
Electric Ultramarine,3F00FF
Vampire Purple,3F2161
Eclipse,3F3939
Harlequin,3FFF00
Viridian,40826D
Turquoise,40E0D0
Jacko Bean,413628
Outer Space,414A4C
Ultramarine Blue,4166F5
Royal Blue,4169E1
American Purple,431C53
Old Burgundy,43302E
Queen Blue,436B95
Verdigris,43B3AE
Rifle Green,444C38
Han Blue,446CCF
Jelly Bean Blue,44798E
Eucalyptus,44D7A8
Picton Blue,45B1E8
Gray-Asparagus,465945
Steel Blue,4682B4
Cyan-Blue Azure,4682BF
Harlequin Green,46CB18
Deep Brown,472208
Maximum Blue,47ABCC
Bulgarian Rose,480607
Dark Lava,483C32
Dark Slate Blue,483D8B
Ocean Green,48BF91
Medium Turquoise,48D1CC
Dark Chocolate,490206
Hooker's Green,49796B
Celestial Blue,4997D0
Brown Coffee,4A2C2A
Dark Moss Green,4A5D23
Deep Space Sparkle,4A646C
Chlorophyll Green,4AFF00
Indigo,4B0082
Cafe Noir,4B3621
Army Green,4B5320
Sea Serpent,4BC7CF
Christmas Brown,4C1F02
Spanish Violet,4C2882
Acajou,4C2F27
Smoke Gray Pearl,4C4B4B
Independence,4C516D
Green Cola,4C721D
May Green,4C9141
Kelly Green,4CBB17
Christmas Purple,4D084B
Blue-Violet (Color Wheel),4D1A7F
Feldgrau,4D5D53
Middle Green,4D8C57
French Puce,4E1609
Purple Navy,4E5180
Cyan Azure,4E82B4
Dark Puce,4F3A3C
Ocean Blue,4F42B5
Stormcloud,4F666A
Indigo (Crayola),4F69C6
Fern Green,4F7942
Blueberry,4F86F7
Purple Taupe,50404D
Black Smoke,505152
Blue Yonder,5072A7
Sap Green,507D2A
Emerald,50C878
KSU Purple,512888
Dark Bronze (Coin),514100
Quartz,51484F
Dune,514F4A
Dark Chocolate Milk,521000
Han Purple,5218FA
Regalia,522D80
Royal Brown,523B35
Green Leaf,526B2D
Dark Liver,534B4F
Cadet,536872
Payne's Grey,536878
UCLA Blue,536895
Dark Liver (Horses),543D37
Soldier Green,545A2C
Liberty,545AA7
Black Coral,54626F
American Violet,551B8C
Light Chocolate Cosmos,551F2F
Blue-Magenta Violet,553592
Davy's Grey,555555
Ebony,555D50
Dark Olive Green,556B2F
Dark Scarlet,560319
Pineapple,563C0D
English Violet,563C5C
Avocado,568203
Wintergreen Dream,56887D
Carolina Blue,56A0D3
Chocolate Cosmos,58111A
Cyber Grape,58427C
Seal Brown,59260B
Caput Mortuum,592720
Plump Purple,5946B2
Chocolate,5A3815
Iris,5A4FCF
Metallic Violet,5B0A91
Japanese Violet,5B3256
United Nations Blue,5B92E5
Lemon Lime,5CFF67
Philippine Brown,5D1916
Red Oxide,5D1F1E
Christmas Brown,5D2B2C
Dark Byzantium,5D3954
Silver Lake Blue,5D89BA
Rackley,5D8AA8
Polished Pine,5DA493
Blue Jeans,5DADEC
Maximum Green,5E8C31
Brown Chocolate,5F1933
Glade Green,5F8151
Steel Teal,5F8A8B
Cadet Blue,5F9EA0
Forest Green (Crayola),5FA777
Shiny Shamrock,5FA778
Imperial,602F6B
Majorelle Blue,6050DC
Glaucous,6082B6
Eggplant,614051
Blood (Organ),630F0F
Umber,635147
Axolotl,63775B
Pullman Brown (UPS Brown),644117
Wenge,645452
Cornflower Blue,6495ED
Very Light Malachite Green,64E986
Rosewood,65000B
Medium Violet,65315F
Otter Brown,654321
Blood Red,660000
Imperial Purple,66023C
Spanish Purple,66033C
Christmas Purple,663398
Rebecca Purple,663399
Halaya Ube,663854
Van Dyke Brown,664228
Deep Tuscan Red,66424D
Donkey Brown,664C28
Antique Bronze,665D1E
Dark Blue-Gray,666699
Very Light Blue,6666FF
Desaturated Cyan,669999
Livid,6699CC
Green (RYB),66B032
Apple,66B447
Medium Aquamarine,66DDAA
Bright Green,66FF00
Screamin' Green,66FF66
Wine Dregs,673147
Violin Brown,674403
Rose Ebony,674846
Liver,674C47
Granite Gray,676767
Russian Green,679267
Palatinate Purple,682860
Butterfly Bush,68578C
Crystal Blue,68A0B0
Purple Heart,69359C
Cadmium Brown,694D0C
Dim Gray,696969
Quincy,6A5445
Slate Blue,6A5ACD
Brown-Nose,6B4423
Zambezi,6B5A5A
Olive Drab (#3),6B8E23
Liver (Organ),6C2E1F
Eminence,6C3082
Field Drab,6C541E
Domino,6C5B4C
Little Boy Blue,6CA0DC
Oxley,6D9A79
Cerulean Frost,6D9BC3
Violet (Caran D'Ache),6E00C0
Philippine Bronze,6E3A07
Metallic Copper,6E3D34
Mustard Green,6E6E30
AuroMetalSaurus,6E7F80
Green Sheen,6EAEA1
Electric Indigo,6F00FF
Grape,6F2DA8
Coffee,6F4E37
Palm Leaf,6F9940
Persian Plum,701C1C
Midnight,702670
Byzantium,702963
Catawba,703642
Sepia,704214
Roast Coffee,704241
Mud,70543E
Slate Gray,708090
Dark Silver,71706E
Iceberg,71A6D2
Iguana Green,71BC78
Garnet Red,72003C
Chinese Purple,720B98
Wine,722F37
Nickel,727472
Air Superiority Blue,72A0C1
Maximum Purple,733380
Garnet,733635
Dark Lavender,734F96
Blue-Violet (Crayola),7366BD
Bronze Yellow,737000
Smoke,738276
Xanadu,738678
Moonstone Blue,73A9C2
Maya Blue,73C2FB
Toolbox,746CC0
Very Light Azure,74BBFB
Mantis,74C365
Sonic Silver,757575
Violet-Blue (Crayola),766EC8
Sky Blue (Crayola),76D7EA
Rhythm,777696
Light Slate Gray,778899
Shadow Blue,778BA5
Dark Pastel Blue,779ECB
French Sky Blue,77B5FE
Pastel Green,77DD77
Pansy Purple,78184A
Royal Purple,7851A9
Camouflage Green,78866B
Medium Tuscan Red,79443B
Old Lavender,796878
UP Maroon,7B1113
Chocolate (Traditional),7B3F00
Medium Slate Blue,7B68EE
Bud Green,7BB661
Barn Red,7C0A02
Kenyan Copper,7C1C05
Tuscan Red,7C4848
Weldon Blue,7C98AB
Vista Blue,7C9ED9
Aero,7CB9E8
Lawn Green,7CFC00
Electric Blue,7DF9FF
Deep Taupe,7E5E60
Middle Blue,7ED4E6
Violet (Color Wheel),7F00FF
Claret,7F1734
Cadmium Violet,7F3E98
Chartreuse (Web),7FFF00
Aquamarine,7FFFD4
Maroon (HTML/CSS),800000
Burgundy,800020
Patriarch,800080
Falu Red,801818
American Brown,804040
Russet,80461B
Dark Bronze,804A00
Spanish Bistre,807532
Olive,808000
Neon Gray,808080
Medium Sky Blue,80DAEB
Philippine Violet,81007F
French Plum,811453
Coyote Brown,81613C
Zombie Rot,81835E
Ziggurat,81A6AA
Deep Maroon,820000
Raw Umber,826644
Yukon Gold,826A21
Dolphin Gray,828E84
Smokey Topaz,832A0D
Chocolate Milk,83543A
Pastel Brown,836953
Roman Silver,838996
Antique Ruby,841B2D
Deep Ruby,843F5B
Milk Chocolate,84563C
Old Silver,848482
Wasabi,849137
Alien Armpit,84DE02
Deep Red,850101
Chinese Violet,856088
French Bistre,856D4D
Gold Fusion,85754E
Dollar Bill,85BB65
Red Devil,860111
Violet (RYB),8601AF
Pomp And Power,86608E
Old Moss Green,867E36
Dark Raspberry,872657
Boysenberry,873260
Brandy,87413F
Titanium,878681
Asparagus,87A96B
Sky Blue,87CEEB
Light Sky Blue,87CEFA
Pale Cyan,87D3F8
Spring Frost,87FF2A
Mardi Gras,880085
French Violet,8806CE
Sienna,882D17
Bronze,88540B
Dark Brown-Tangelo,88654E
Ube,8878C3
Light Cobalt Blue,88ACE0
Pearl Aqua,88D8C0
Violet-Red,891446
Maximum Violet,892F77
Solid Pink,893843
Cordovan,893F45
Baby Blue,89CFF0
Blood,8A0303
Blue-Violet,8A2BE2
Burnt Umber,8A3324
Twilight Lavender,8A496B
Shadow,8A795D
Americano,8A7D72
Rocket Metallic,8A7F80
Royal Silver,8A8D96
Deep Silver,8A9191
Turtle Green,8A9A5B
Jordy Blue,8AB9F1
Dark Red,8B0000
Dark Magenta,8B008B
Saddle Brown,8B4513
Spicy Mix,8B5F4D
Middle Blue Purple,8B72BE
Taupe Gray,8B8589
Middle Grey,8B8680
Pewter Blue,8BA8B7
Dark Lemon Lime,8BBE1B
Philippine Gray,8C8C8C
Cool Grey,8C92AC
Dark Sky Blue,8CBED6
Razzmic Berry,8D4E85
Morning Blue,8DA399
Apple Green,8DB600
Middle Blue Green,8DD9CC
Quinacridone Magenta,8E3A59
Plum,8E4585
Matrix,8E4D45
Kiwi,8EE53F
Electric Violet,8F00FF
Blackberry,8F5973
Artichoke,8F9779
Dark Sea Green,8FBC8F
Sheen Green,8FD400
Rose Taupe,905D5D
Light Green,90EE90
Sugar Plum,914E75
Antique Fuchsia,915C83
Raspberry Glace,915F6D
Dark Tan,918151
Cadet Grey,91A3B0
Sangria,92000A
Vivid Auburn,922724
Red-Violet (Color Wheel),922B3E
Iced Tea,923C01
Ceil,92A1CF
Citrine Brown,933709
Smoky Topaz,933D41
Royal Bronze,934D34
Medium Purple,9370DB
Pistachio,93C572
Light Cornflower Blue,93CCEA
Sea Green (Crayola),93DFB8
Dark Violet,9400D3
Lavender Indigo,9457EB
Flat Aluminum,94939B
Chestnut,954535
Amethyst Smoke,95879C
Carmine,960018
Rose Garnet,960145
Violet (Crayola),963D7F
Brown (Traditional),964B00
Coconut,965A3E
Dark Pastel Purple,966FD6
Bistre Brown,967117
Purple Mountain Majesty,9678B6
Lavender Purple,967BB6
Dull Aluminum,969593
Eton Blue,96C8A2
Pale Robin Egg Blue,96DED1
Mango Green,96FF00
Red Rum,973A4A
Manatee,979AAA
Pink Raspberry,980036
Dark Chestnut,986960
Liver Chestnut,987456
Pale Brown,987654
Bazaar,98777B
Cinereous,98817B
Spanish Gray,989898
Pale Green,98FB98
Mint Green,98FF98
Crimson Red,990000
Dark Orchid,9932CC
Brown,993300
Deep Lilac,9955BB
Golden Brown,996515
Gamboge Orange (Brown),996600
Copper Rose,996666
Amethyst,9966CC
Mountbatten Pink,997A8D
Periwinkle,9999FF
Teal Deer,99E6B3
Rum,9A4E40
Purpureus,9A4EAE
Olivine,9AB973
Yellow-Green,9ACD32
Ruby Red,9B111E
Royal Red,9B1C31
Dirt,9B7653
Dark Yellow,9B870C
Pale Cerulean,9BC4E2
Big Dip OÅfruby,9C2542
Purple Plum,9C51B6
Metallic Sunburst,9C7C38
Deep Amethyst,9C8AA4
Japanese Carmine,9D2933
Buttered Rum,9D702E
Limerick,9DC209
Spartan Crimson,9E1316
Rose Dust,9E5E6F
French Lime,9EFD38
Purple (Munsell),9F00C5
Vivid Violet,9F00FF
Vivid Burgundy,9F1D35
Amaranth Deep Purple,9F2B68
Magenta Haze,9F4576
Beaver,9F8170
Citron,9FA91F
Sea Foam Green,9FE2BF
Veronica,A020F0
Chamoisee,A0785A
Turquoise Green,A0D6B4
Winter Wizard,A0E6FF
Burnished Brown,A17A74
Baby Blue Eyes,A1CAF1
Flirt,A2006D
Blue Bell,A2A2D0
Wild Blue Yonder,A2ADD0
Cambridge Blue,A3C1AD
Dark Candy Apple Red,A40000
Blood (Animal),A41313
Redwood,A45A52
Android Green,A4C639
Non-Photo Blue,A4DDED
Waterspout,A4F4F9
Jazzberry Jam,A50B5E
Auburn,A52A2A
Middle Red Purple,A55353
Blast-Off Bronze,A57164
Gold,A57C00
Choco Peanut,A57C48
Metallic Red,A62C2B
Maximum Red Purple,A63A79
Cafe Au Lait,A67B5B
Quick Silver,A6A6A6
Vivid Lime Green,A6D608
Fresh Air,A6E7FF
Windsor Tan,A75502
Rich Lavender,A76BCF
Crystal,A7D8DE
Green Lizard,A7F432
Spring Bud,A7FC00
Rufous,A81C07
Sweet Brown,A83731
China Rose,A8516E
Metallic Silver,A8A9AD
Opal,A8C3BC
Granny Smith Apple,A8E4A0
Deep Carmine,A9203E
Apple Blossom,A95249
Deep Puce,A95C68
Metallic Gold,A97142
Honey,A98307
Grullo,A99A86
Dark Medium Gray,A9A9A9
Cadet Blue (Crayola),A9B2C3
Laurel Green,A9BA9D
Heliotrope Magenta,AA00BB
Christmas Red,AA0114
Chinese Red,AA381E
Medium Ruby,AA4069
Dark Gold,AA6C39
Rose Quartz,AA98A9
Silver (Metallic),AAA9AD
Little Girl Blue,AAD0DD
Magic Mint,AAF0D1
Amaranth Purple,AB274F
Chinese Brown,AB381F
English Red,AB4B52
Rose Vale,AB4E52
Glossy Grape,AB92B3
Pale Cornflower Blue,ABCDEF
French Wine,AC1E44
Metallic Brown,AC4313
Silver Chalice,ACACAC
Maximum Blue Purple,ACACE6
Middle Green Yellow,ACBF60
Celadon,ACE1AF
Blue Lagoon,ACE5EE
Mystic Maroon,AD4379
Copper Penny,AD6F69
Light Blue,ADD8E6
Light Moss Green,ADDFAD
Green-Yellow,ADFF2F
Mordant Red 19,AE0C00
Upsdell Red,AE2029
Lilac Luster,AE98AA
Pastel Blue,AEC6CF
Alabama Crimson,AF002A
Pale Carmine,AF4035
Peanut,AF5811
Brown (Crayola),AF593E
Brown Sugar,AF6E4D
Silver Foil,AFB1AE
Pale Blue,AFEEEE
Christmas Red,B01B2E
Rich Maroon,B03060
Giant's Club,B05C52
Bronze (Metallic),B08D57
Eagle,B0AC94
Acid Green,B0BF1A
Light Steel Blue,B0C4DE
Powder Blue,B0E0E6
Medium Red,B10304
Wine Red,B11226
Philippine Gold,B17304
Light Pastel Purple,B19CD9
Firebrick,B22222
African Violet,B284BE
Light Gold,B29700
Ash Gray,B2BEB5
Zanah,B2C6B1
Inchworm,B2EC5D
Celeste,B2FFFF
Carnelian,B31B1B
American Red,B32134
Raspberry Rose,B3446C
Light Taupe,B38B6D
Pastel Purple,B39EB5
Philippine Silver,B3B3B3
English Lavender,B48395
Fandango,B53389
Electric Brown,B56257
Light Brown,B5651D
Dirty Brown,B5651E
Turkish Rose,B57281
Lavender (Floral),B57EDC
Brass,B5A642
Olive Green,B5B35C
Cadmium Purple,B60C26
Snow White Red,B60D0D
Rich Lilac,B666D2
Water Leaf,B6ECDE
Rust,B7410E
Pearly Purple,B768A2
Rose Gold,B76E79
Opera Mauve,B784A7
University Of California Gold,B78727
Vivid Mulberry,B80CE3
Liver (Dogs),B86D29
Copper,B87333
Dark Goldenrod,B8860B
Deep Chestnut,B94E48
Diamond,B9F2FF
UE Red,BA0001
International Orange (Engineering),BA160C
Medium Orchid,BA55D3
Deer,BA8759
Royal Gold,BA8B55
Lenurple,BA93D8
Medium Red-Violet,BB3385
Ruddy Brown,BB6528
Misty Moss,BBB477
Jet Stream,BBD0C9
Rosy Brown,BC8F8F
Pale Taupe,BC987E
Sage,BCB88A
Beau Blue,BCD4E6
Lemon Iced Tea,BD3000
Byzantine,BD33A4
Rose Quartz Pink,BD559C
Gold Foil,BD9B16
Dark Khaki,BDB76B
Aluminum Foil,BDC2C6
June Bud,BDDA57
Crimson Glory,BE0032
Popstar,BE4F62
Mocha,BEA493
Gray (X11 Gray),BEBEBE
Electric Purple,BF00FF
Watermelon Red,BF4147
Bittersweet Shimmer,BF4F51
Bright Lavender,BF94E4
Black Shadows,BFAFB2
Vodka,BFC0EE
Silver Sand,BFC1C2
Bitter Lime,BFFF00
International Orange (Golden Gate Bridge),C0362C
Mahogany,C04000
Red-Violet (Crayola),C0448F
Old Rose,C08081
Tuscany,C09999
Ghost,C0BFC7
Silver,C0C0C0
Deep Fuchsia,C154C1
Camel,C19A6B
Menthol,C1F9A2
Rose Red,C21E56
Dark Pastel Red,C23B22
Sand,C2B280
Pictorial Carmine,C30B4E
Bright Maroon,C32148
Neon Brown,C3732A
Quicksand,C3988B
Aztec Gold,C39953
Khaki (HTML/CSS) (Khaki),C3B091
Periwinkle (Crayola),C3CDE6
Red (NCS),C40233
Cardinal,C41E3A
Alloy Orange,C46210
Silver Pink,C4AEAD
Lavender Gray,C4C3D0
Columbia Blue,C4D8E2
Dingy Dungeon,C53151
Mulberry,C54B8C
Deep Gold,C59E25
Vegas Gold,C5B358
Light Periwinkle,C5CBE1
Yellow-Green (Crayola),C5E384
Zest,C6723B
Medium Violet-Red,C71585
French Raspberry,C72C48
Fuchsia Rose,C74375
Light Chocolate,C79C7A
Yuma,C7B882
Venetian Red,C80815
Dragon Red,C81A0F
Strawberry Red,C83F49
Smitten,C84186
Mulberry (Crayola),C8509B
Lilac,C8A2C8
Light French Beige,C8AD7F
Harvard Crimson,C90016
Cedar Chest,C95A49
Peanut Butter,C9975C
Wisteria,C9A0DC
Pale Silver,C9C0BB
Medium Spring Bud,C9DC87
Aero Blue,C9FFE5
Magenta (Dye),CA1F7B
Royal Fuchsia,CA2C92
Mahogany (Crayola),CA3435
Christmas Gold,CAA906
Bitter Lemon,CAE00D
Sinopia,CB410B
Brick Red,CB4154
Copper Red,CB6D51
Pastel Violet,CB99C9
Satin Sheen Gold,CBA135
Quill Grey,CBC9C0
Metallic Aluminum,CBD0CA
Boston University Red,CC0000
Vivid Crimson,CC0033
Deep Magenta,CC00CC
Vivid Orchid,CC00FF
Persian Red,CC3333
Madder Lake,CC3336
Magenta-Pink,CC338B
Steel Pink,CC33CC
Fuchsia Purple,CC397B
English Vermillion,CC474B
Dark Terra Cotta,CC4E5C
Burnt Orange,CC5500
Fuzzy Wuzzy,CC6666
Ochre,CC7722
Puce,CC8899
Vivid Amber,CC9900
Brown Yellow,CC9966
Light Grayish Magenta,CC99CC
Pale Violet,CC99FF
Lemon Curry,CCA01D
Neon Silver,CCCCCC
Periwinkle,CCCCFF
Electric Lime,CCFF00
Chinese Red,CD071E
Middle Pink,CD5295
Tenne(Tawny),CD5700
Dark Coral,CD5B45
Indian Red,CD5C5C
Cinnamon Satin,CD607E
Mustard Brown,CD7A00
Bronze,CD7F32
Chinese Bronze,CD8032
Dixie,CD8431
Peru,CD853F
Antique Brass,CD9575
Tropical Violet,CDA4DE
Philippine Red,CE1127
Fire Engine Red,CE2029
Ruber,CE4676
Soap,CEC8EF
Volt,CEFF00
Lava,CF1020
Stop Red,CF142B
Telemagenta,CF3476
Super Pink,CF6BA9
Sky Magenta,CF71AF
Neon Gold,CFAA01
Old Gold,CFB53B
Pastel Gray,CFCFC4
American Silver,CFCFCF
Royal Red,D00060
Magenta (Pantone),D0417E
Charm,D0748B
Chinese Green,D0DB61
Tea Green,D0F0C0
Arctic Lime,D0FF14
Blood Orange,D1001C
Spanish Carmine,D10047
Rubine Red,D10056
Bright Ube,D19FE8
Dark Vanilla,D1BEA8
Pear,D1E231
Cocoa Brown,D2691E
Whiskey,D29062
Tan,D2B48C
Utah Crimson,D3003F
Amaranth Red,D3212D
Light Medium Orchid,D39BCB
American Gold,D3AF37
Light Gray,D3D3D3
Rosso Corsa,D40000
Wild Orchid,D470A2
Deep Mauve,D473D4
Whiskey Sour,D4915D
Gold (Metallic),D4AF37
Water,D4F1F9
Christmas Orange,D56C2B
Fog,D5C7E8
Mystic,D65282
Raw Sienna,D68A59
Languid Lavender,D6CADD
Aluminum,D6D6D6
Rich Carmine,D70040
Debian Red,D70A53
Dogwood Rose,D71868
Jasper,D73B3E
Pink (Pantone),D74894
New York Pink,D7837F
Bright Lilac,D891EF
Pink Lavender,D8B2D1
Thistle,D8BFD8
Light Silver,D8D8D8
Gin,D8E4BC
UA Red,D9004C
Maximum Red,D92121
Vermilion,D9381E
Medium Vermilion,D9603B
Middle Purple,D982B5
Shimmering Blush,D98695
Persian Orange,D99058
Parrot Pink,D998A0
Tan (Crayola),D99A6C
Quartz,D9D9F3
Maximum Green Yellow,D9E650
Vivid Cerise,DA1D81
Rusty Red,DA2C43
Deep Cerise,DA3287
Jelly Bean,DA614E
Metallic Orange,DA680F
Orchid,DA70D6
Pale Copper,DA8A67
Harvest Gold,DA9100
Buttercup,DA9429
Goldenrod,DAA520
Pale Red-Violet,DB7093
Timberwolf,DBD7D2
Azureish White,DBE9F4
Crimson,DC143C
Pale Lavender,DCD0FF
Milk White,DCD9CD
Gainsboro,DCDCDC
Medium Lavender Magenta,DDA0DD
Pale Chestnut,DDADAF
Zombie,DDC283
Booger Buster,DDE26A
Cherry,DE3163
Deep Orange,DE4830
Fandango Pink,DE5285
Blush,DE5D83
China Pink,DE6FA1
Chinese Pink,DE70A1
Jasper Orange,DE8F4E
Pastel Pink,DEA5A4
Tumbleweed,DEAA88
Burlywood,DEB887
Zircon,DEE3E3
Phlox,DF00FF
Red Cola,DF0118
Vivid Red-Tangelo,DF6124
Heliotrope,DF73FF
Chartreuse (Traditional),DFFF00
Ruby,E0115F
Barbie Pink,E0218A
CG Red,E03C31
Tiger's Eye,E08D3C
Mauve,E0B0FF
Lanzones,E0BC5B
Light Cyan,E0FFFF
Permanent Geranium Lake,E12C2C
Ruddy Pink,E18E96
Earth Yellow,E1A95F
Mustard Yellow,E1AD01
Urobilin,E1AD21
Christmas Silver,E1DFE0
Medium Candy Apple Red,E2062C
Raspberry Pink,E25098
Flame,E25822
Terra Cotta,E2725B
Orchid (Crayola),E29CD2
Chinese White,E2E5DE
Cadmium Red,E30022
Raspberry,E30B5D
Razzmatazz,E3256B
Rose Madder,E32636
Vermilion,E34234
Christmas Pink,E34285
Indian Yellow,E3A857
Sunray,E3AB57
Bone,E3DAC9
Mindaro,E3F988
Lemon Lime,E3FF00
Red-Purple,E40078
